id;date;description;amount
1;2021-07-16T16:16:16;Mississippi Account Associate;13968
2;2021-07-16T11:49:42;port innovate Persevering;9517
3;2021-07-15T23:03:34;Hawaii Sausages connecting;52157
4;2021-07-16T07:27:31;Optimization Rustic Synergistic;14208
5;2021-07-16T05:38:17;Card Iowa;77596
6;2021-07-16T11:14:58;mesh Rhode Automotive;8019
7;2021-07-16T14:51:52;infrastructures Cambridgeshire GB;67835
8;2021-07-16T02:44:28;Implemented synthesizing program;18655
9;2021-07-16T05:02:06;Generic RAM;43990
10;2021-07-16T15:03:43;Bedfordshire partnerships;13274
